1317040011	中山醫學大學附設醫院
EB03705903U002000	兆豐國際商業銀行股份有限公司港都分行
EB03705903U004000	兆豐國際商業銀行股份有限公司台中分行
EB03705903U242000	兆豐國際商業銀行股份有限公司台南科學園區分行
EB03705903U236000	兆豐國際商業銀行股份有限公司青埔分行
EB03705903U041000	兆豐國際商業銀行股份有限公司新莊分行
EB03705903U005000	兆豐國際商業銀行股份有限公司忠孝分行
EB03705903U069000	兆豐國際商業銀行股份有限公司中和分行
EB03705903U914000	兆豐國際商業銀行股份有限公司法令遵循處
EB03705903U917000	兆豐國際商業銀行股份有限公司數位金融處
EB03705903U016000	兆豐國際商業銀行股份有限公司高雄科技園區分行
EB03705903U924000	兆豐國際商業銀行股份有限公司債權管理處
EB03705903U089000	兆豐國際商業銀行股份有限公司保險代理人處
EB03705903U910000	兆豐國際商業銀行股份有限公司人力資源處
EB03705903U011000	兆豐國際商業銀行股份有限公司財務處
EB03705903U052000	兆豐國際商業銀行股份有限公司岡山分行
EB03705903U072000	兆豐國際商業銀行股份有限公司北高雄分行
EB03705903U234000	兆豐國際商業銀行股份有限公司圓山分行
EB03705903U071000	兆豐國際商業銀行股份有限公司東台中分行
EB03705903U012000	兆豐國際商業銀行股份有限公司三重分行
EB03705903U070000	兆豐國際商業銀行股份有限公司南京東路分行
EB03705903U067000	兆豐國際商業銀行股份有限公司東內湖分行
EB03705903U066000	兆豐國際商業銀行股份有限公司高雄國際機場分行
EB03705903U065000	兆豐國際商業銀行股份有限公司東台南分行
EB03705903U064000	兆豐國際商業銀行股份有限公司南投分行
EB03705903U028000	兆豐國際商業銀行股份有限公司潭子分行
EB03705903U063000	兆豐國際商業銀行股份有限公司斗六分行
EB03705903U205000	兆豐國際商業銀行股份有限公司高雄分行
EB03705903U206000	兆豐國際商業銀行股份有限公司板橋分行
EB03705903U062000	兆豐國際商業銀行股份有限公司宜蘭分行
EB03705903U060000	兆豐國際商業銀行股份有限公司沙鹿分行
EB03705903U237000	兆豐國際商業銀行股份有限公司內湖科學園區分行
EB03705903U941000	兆豐國際商業銀行股份有限公司法律事務室
EB03705903U208000	兆豐國際商業銀行股份有限公司竹北分行
EB03705903U214000	兆豐國際商業銀行股份有限公司寶成分行
EB03705903U215000	兆豐國際商業銀行股份有限公司竹科竹村分行
EB03705903U216000	兆豐國際商業銀行股份有限公司世貿分行
EB03705903U219000	兆豐國際商業銀行股份有限公司南三重分行
EB03705903U047000	兆豐國際商業銀行股份有限公司東高雄分行
EB03705903U046000	兆豐國際商業銀行股份有限公司新店分行
EB03705903U045000	兆豐國際商業銀行股份有限公司鳳山分行
EB03705903U220000	兆豐國際商業銀行股份有限公司南彰化分行
EB03705903U044000	兆豐國際商業銀行股份有限公司南台中分行
EB03705903U013000	兆豐國際商業銀行股份有限公司新興分行
EB03705903U227000	兆豐國際商業銀行股份有限公司五福分行
EB03705903U057000	兆豐國際商業銀行股份有限公司大稻埕分行
EB03705903U010000	兆豐國際商業銀行股份有限公司蘭雅分行
EB03705903U043000	兆豐國際商業銀行股份有限公司大同分行
EB03705903U228000	兆豐國際商業銀行股份有限公司羅東分行
EB03705903U051000	兆豐國際商業銀行股份有限公司內湖分行
EB03705903U042000	兆豐國際商業銀行股份有限公司松南分行
EB03705903U030000	兆豐國際商業銀行股份有限公司南台北分行
EB03705903U229000	兆豐國際商業銀行股份有限公司大安分行
EB03705903U232000	兆豐國際商業銀行股份有限公司后里分行
EB03705903U207000	兆豐國際商業銀行股份有限公司桃興分行
EB03705903U233000	兆豐國際商業銀行股份有限公司鹿港分行
EB03705903U029000	兆豐國際商業銀行股份有限公司桃園國際機場分行
EB03705903U902000	兆豐國際商業銀行股份有限公司總務暨安全衛生處
EB03705903U906000	兆豐國際商業銀行股份有限公司稽核處
EB03705903U908000	兆豐國際商業銀行股份有限公司徵信處
EB03705903U027000	兆豐國際商業銀行股份有限公司板南分行
EB03705903	兆豐國際商業銀行股份有限公司
EB03705903U034000	兆豐國際商業銀行股份有限公司永和分行
EB03705903U032000	兆豐國際商業銀行股份有限公司員林分行
EB03705903U026000	兆豐國際商業銀行股份有限公司北新竹分行
EB03705903U934000	兆豐國際商業銀行股份有限公司中區營運中心
EB03705903U058000	兆豐國際商業銀行股份有限公司頭份分行
EB03705903U006000	兆豐國際商業銀行股份有限公司府城分行
EB03705903U014000	兆豐國際商業銀行股份有限公司桃園分行
EB03705903U015000	兆豐國際商業銀行股份有限公司中山分行
EB03705903U912000	兆豐國際商業銀行股份有限公司風險控管處
EB03705903U050000	兆豐國際商業銀行股份有限公司永康分行
EB03705903U001000	兆豐國際商業銀行股份有限公司會計處
EB03705903U916000	兆豐國際商業銀行股份有限公司企劃處
EB03705903U103000	兆豐國際商業銀行股份有限公司仁武分行
EB03705903U086000	兆豐國際商業銀行股份有限公司駐外交部簡易型分行
EB03705903U037000	兆豐國際商業銀行股份有限公司北台中分行
EB03705903U918000	兆豐國際商業銀行股份有限公司授信審查處
EB03705903U020000	兆豐國際商業銀行股份有限公司竹科新安分行
EB03705903U931000	兆豐國際商業銀行股份有限公司北區營運中心
EB03705903U019000	兆豐國際商業銀行股份有限公司安和分行
EB03705903U035000	兆豐國際商業銀行股份有限公司豐原分行
EB03705903U933000	兆豐國際商業銀行股份有限公司桃竹苗區營運中心
EB03705903U935000	兆豐國際商業銀行股份有限公司南區營運中心
EB03705903U038000	兆豐國際商業銀行股份有限公司亞灣分行
EB03705903U938000	兆豐國際商業銀行股份有限公司業務管理處
EB03705903U025000	兆豐國際商業銀行股份有限公司國際金融業務分行
EB03705903U939000	兆豐國際商業銀行股份有限公司董事會議事事務單位
EB03705903U039000	兆豐國際商業銀行股份有限公司中壢分行
EB03705903U943000	兆豐國際商業銀行股份有限公司消金業務處
EB03705903U049000	兆豐國際商業銀行股份有限公司基隆分行
EB03705903U023000	兆豐國際商業銀行股份有限公司花蓮分行
EB03705903U945000	兆豐國際商業銀行股份有限公司公關室
EB03705903U068000	兆豐國際商業銀行股份有限公司太平分行
EB03705903U083000	兆豐國際商業銀行股份有限公司向上分行
EB03705903U040000	兆豐國際商業銀行股份有限公司三民分行
EB03705903U116000	兆豐國際商業銀行股份有限公司高雄漁港簡易型分行
EB03705903U022000	兆豐國際商業銀行股份有限公司嘉義分行
EB03705903U226000	兆豐國際商業銀行股份有限公司大直分行
EB03705903U212000	兆豐國際商業銀行股份有限公司嘉興分行
EB03705903U210000	兆豐國際商業銀行股份有限公司敦化分行
EB03705903U231000	兆豐國際商業銀行股份有限公司林口分行
EB03705903U238000	兆豐國際商業銀行股份有限公司雙和分行
EB03705903U007000	兆豐國際商業銀行股份有限公司國外部
EB03705903U061000	兆豐國際商業銀行股份有限公司八德分行
EB03705903U008000	兆豐國際商業銀行股份有限公司台北復興分行
EB03705903U946000	兆豐國際商業銀行股份有限公司資訊安全處
EB03705903U081000	兆豐國際商業銀行股份有限公司中鋼簡易型分行
EB03705903U949000	兆豐國際商業銀行股份有限公司私人銀行處
EB03705903U075000	兆豐國際商業銀行股份有限公司竹南科學園區分行
EB03705903U059000	兆豐國際商業銀行股份有限公司苓雅分行
EB03705903U036000	兆豐國際商業銀行股份有限公司民生分行
EB03705903U003000	兆豐國際商業銀行股份有限公司楠梓分行
EB03705903U021000	兆豐國際商業銀行股份有限公司天母分行
EB03705903U053000	兆豐國際商業銀行股份有限公司屏東分行
EB03705903U080000	兆豐國際商業銀行股份有限公司南崁分行
EB03705903U915001	兆豐國際商業銀行股份有限公司執行命令收文
EB03705903U055000	兆豐國際商業銀行股份有限公司松山機場分行
EB03705903U936000	兆豐國際商業銀行股份有限公司反洗錢暨金融犯罪防制處
EB03705903U900000	兆豐國際商業銀行股份有限公司資訊處
EB03705903U940000	兆豐國際商業銀行股份有限公司企金業務處
EB03705903U915000	兆豐國際商業銀行股份有限公司集中作業處
EB03705903U017000	兆豐國際商業銀行股份有限公司城中分行
EB03705903U079000	兆豐國際商業銀行股份有限公司金門分行
EB03705903U078000	兆豐國際商業銀行股份有限公司成功簡易型分行
EB03705903U009000	兆豐國際商業銀行股份有限公司財富管理處
EB03705903U018000	兆豐國際商業銀行股份有限公司北彰化分行
EB03705903U213000	兆豐國際商業銀行股份有限公司台南分行
EB03705903U109000	兆豐國際商業銀行股份有限公司信用卡暨支付處
EB03705903U031000	兆豐國際商業銀行股份有限公司敦南分行
EB03705903U201000	兆豐國際商業銀行股份有限公司金控總部分行
EB03705903U048000	兆豐國際商業銀行股份有限公司信義分行
EB03705903U202000	兆豐國際商業銀行股份有限公司台北分行
EB03705903U077000	兆豐國際商業銀行股份有限公司大甲分行
EB03705903U203000	兆豐國際商業銀行股份有限公司新竹分行
EB03705903U942000	兆豐國際商業銀行股份有限公司海外業務處
EB03705903U056000	兆豐國際商業銀行股份有限公司土城分行
EB03705903U204000	兆豐國際商業銀行股份有限公司中台中分行
EB03705903U076000	兆豐國際商業銀行股份有限公司中科分行
EB03705903U074000	兆豐國際商業銀行股份有限公司南港分行
EB03705903U243000	兆豐國際商業銀行股份有限公司投資處
EB03705903U024000	兆豐國際商業銀行股份有限公司信託處
EB03705903U235000	兆豐國際商業銀行股份有限公司新都分行
EB03705903U240000	兆豐國際商業銀行股份有限公司衡陽分行
EB03705903U241000	兆豐國際商業銀行股份有限公司大里分行
EB03708205	中國廣播股份有限公司
EB03732107	泰國盤谷銀行股份有限公司台北分公司
EB03742301	華南商業銀行股份有限公司
EB03750168	台北富邦商業銀行股份有限公司
EB03750168U012810	台北富邦銀行執行命令收文
EB03793407U680000	臺灣中小企業銀行龍潭分行
EB03793407UC50000	臺灣中小企業銀行大發分行
EB03793407	臺灣中小企業銀行股份有限公司
EB03793407UA50000	臺灣中小企業銀行台南分行
EB03793407UH81000	臺灣中小企業銀行國內作業中心
EB03793407U180000	臺灣中小企業銀行化成分行
EB03793407U940000	臺灣中小企業銀行虎尾分行
EB03793407UE60000	臺灣中小企業銀行徵信部
EB03793407U840000	臺灣中小企業銀行埔里分行
EB03793407U420000	臺灣中小企業銀行土城分行
EB03793407UH10000	臺灣中小企業銀行南二區區營運處
EB03793407U980000	臺灣中小企業銀行新營分行
EB03793407U700000	臺灣中小企業銀行竹南分行
EB03793407UF40000	臺灣中小企業銀行董事會秘書處
EB03793407U780000	臺灣中小企業銀行台中分行
EB03793407U300000	臺灣中小企業銀行永春分行
EB03793407U020000	臺灣中小企業銀行博愛分行
EB03793407U030000	臺灣中小企業銀行北桃園分行
EB03793407U760000	臺灣中小企業銀行沙鹿分行
EB03793407U910000	臺灣中小企業銀行二林分行
EB03793407U750000	臺灣中小企業銀行大甲分行
EB03793407U010000	臺灣中小企業銀行中和分行
EB03793407U740000	臺灣中小企業銀行太平分行
EB03793407U660000	臺灣中小企業銀行竹科分行
EB03793407U860000	臺灣中小企業銀行竹山分行
EB03793407U720000	臺灣中小企業銀行苗栗分行
EB03793407UD70000	臺灣中小企業銀行武漢分行
EB03793407U880000	臺灣中小企業銀行和美分行
EB03793407UF20000	臺灣中小企業銀行債權管理部
EB03793407UE40000	臺灣中小企業銀行業務發展部
EB03793407U500000	臺灣中小企業銀行蘆洲分行
EB03793407UB80000	臺灣中小企業銀行北高雄分行
EB03793407U820000	臺灣中小企業銀行南投分行
EB03793407UA20000	臺灣中小企業銀行學甲分行
EB03793407UE90000	臺灣中小企業銀行人力資源處
EB03793407U540000	臺灣中小企業銀行楊梅分行
EB03793407U460000	臺灣中小企業銀行基隆分行
EB03793407UA80000	臺灣中小企業銀行東台南分行
EB03793407UF50000	臺灣中小企業銀行法令遵循處
EB03793407UG80000	臺灣中小企業銀行中區區營運處
EB03793407UB50000	臺灣中小企業銀行北鳳山分行
EB03793407UD80000	臺灣中小企業銀行東京分行
EB03793407U440000	臺灣中小企業銀行汐止分行
EB03793407U430000	臺灣中小企業銀行迴龍分行
EB03793407U490000	臺灣中小企業銀行南三重分行
EB03793407UD40000	臺灣中小企業銀行上海分行
EB03793407U600000	臺灣中小企業銀行內壢分行
EB03793407UD90000	臺灣中小企業銀行會計處
EB03793407U730000	臺灣中小企業銀行豐原分行
EB03793407U960000	臺灣中小企業銀行民雄分行
EB03793407UF70000	臺灣中小企業銀行數位金融部
EB03793407UC80000	臺灣中小企業銀行潮州分行
EB03793407U790000	臺灣中小企業銀行民權分行
EB03793407U900000	臺灣中小企業銀行北斗分行
EB03793407U890000	臺灣中小企業銀行員林分行
EB03793407U870000	臺灣中小企業銀行彰化分行
EB03793407UC70000	臺灣中小企業銀行小港分行
EB03793407UC40000	臺灣中小企業銀行鳳山分行
EB03793407UC30000	臺灣中小企業銀行三民分行
EB03793407UB40000	臺灣中小企業銀行岡山分行
EB03793407UB30000	臺灣中小企業銀行東高雄分行
EB03793407UA70000	臺灣中小企業銀行成功分行
EB03793407U150000	臺灣中小企業銀行永和分行
EB03793407U140000	臺灣中小企業銀行士林分行
EB03793407U530000	臺灣中小企業銀行蘇澳分行
EB03793407U450000	臺灣中小企業銀行三峽分行
EB03793407U280000	臺灣中小企業銀行忠孝分行
EB03793407U240000	臺灣中小企業銀行中山分行
EB03793407U230000	臺灣中小企業銀行復興分行
EB03793407U190000	臺灣中小企業銀行松江分行
EB03793407U590000	臺灣中小企業銀行中壢分行
EB03793407U920000	臺灣中小企業銀行斗六分行
EB03793407U630000	臺灣中小企業銀行新屋分行
EB03793407U620000	臺灣中小企業銀行東桃園分行
EB03793407U610000	臺灣中小企業銀行新明分行
EB03793407U570000	臺灣中小企業銀行大園分行
EB03793407U560000	臺灣中小企業銀行桃園分行
EB03793407U550000	臺灣中小企業銀行湖口分行
EB03793407U520000	臺灣中小企業銀行羅東分行
EB03793407U510000	臺灣中小企業銀行宜蘭分行
EB03793407U480000	臺灣中小企業銀行北三重分行
EB03793407U470000	臺灣中小企業銀行埔墘分行
EB03793407UG50000	臺灣中小企業銀行北一區區營運處
EB03793407UG40000	臺灣中小企業銀行風險管理部
EB03793407UF80000	臺灣中小企業銀行財務部
EB03793407U080000	臺灣中小企業銀行營業部
EB03793407U070000	臺灣中小企業銀行金門分行
EB03793407U060000	臺灣中小企業銀行忠明分行
EB03793407U050000	臺灣中小企業銀行西屯分行
EB03793407U040000	臺灣中小企業銀行南崁分行
EB03793407UF30000	臺灣中小企業銀行個人金融部
EB03793407U400000	臺灣中小企業銀行板橋分行
EB03793407U390000	臺灣中小企業銀行東林口分行
EB03793407U380000	臺灣中小企業銀行林口分行
EB03793407U370000	臺灣中小企業銀行五股分行
EB03793407U360000	臺灣中小企業銀行錦和分行
EB03793407U350000	臺灣中小企業銀行雙和分行
EB03793407U310000	臺灣中小企業銀行南港分行
EB03793407U290000	臺灣中小企業銀行世貿分行
EB03793407U250000	臺灣中小企業銀行建國分行
EB03793407U220000	臺灣中小企業銀行南台北分行
EB03793407U210000	臺灣中小企業銀行萬華分行
EB03793407U200000	臺灣中小企業銀行台北分行
EB03793407UB60000	臺灣中小企業銀行苓雅分行
EB03793407UB70000	臺灣中小企業銀行高雄分行
EB03793407UB90000	臺灣中小企業銀行大昌分行
EB03793407U410000	臺灣中小企業銀行樹林分行
EB03793407UG60000	臺灣中小企業銀行北二區區營運處
EB03793407U120000	臺灣中小企業銀行松山分行
EB03793407U930000	臺灣中小企業銀行北港分行
EB03793407U990000	臺灣中小企業銀行開元分行
EB03793407UA30000	臺灣中小企業銀行善化分行
EB03793407UA60000	臺灣中小企業銀行仁德分行
EB03793407UA90000	臺灣中小企業銀行安平分行
EB03793407UB10000	臺灣中小企業銀行花蓮分行
EB03793407U580000	臺灣中小企業銀行大溪分行
EB03793407UB20000	臺灣中小企業銀行台東分行
EB03793407UC60000	臺灣中小企業銀行屏東分行
EB03793407UC90000	臺灣中小企業銀行國際金融業務分行
EB03793407UD10000	臺灣中小企業銀行洛杉磯分行
EB03793407UD20000	臺灣中小企業銀行香港分行
EB03793407UD50000	臺灣中小企業銀行布里斯本分行
EB03793407UE10000	臺灣中小企業銀行信託部
EB03793407U640000	臺灣中小企業銀行新竹分行
EB03793407U650000	臺灣中小企業銀行竹北分行
EB03793407U670000	臺灣中小企業銀行八德分行
EB03793407U690000	臺灣中小企業銀行竹東分行
EB03793407U710000	臺灣中小企業銀行頭份分行
EB03793407U770000	臺灣中小企業銀行烏日分行
EB03793407U800000	臺灣中小企業銀行興中分行
EB03793407U810000	臺灣中小企業銀行北屯分行
EB03793407U830000	臺灣中小企業銀行草屯分行
EB03793407U850000	臺灣中小企業銀行潭子分行
EB03793407U950000	臺灣中小企業銀行嘉義分行
EB03793407U970000	臺灣中小企業銀行嘉新分行
EB03793407UA10000	臺灣中小企業銀行永康分行
EB03793407UA40000	臺灣中小企業銀行永大分行
EB03793407UD60000	臺灣中小企業銀行紐約分行
EB03793407UD30000	臺灣中小企業銀行雪梨分行
EB03793407UE20000	臺灣中小企業銀行證券部
EB03793407UE30000	臺灣中小企業銀行國際部
EB03793407UE50000	臺灣中小企業銀行授信管理部
EB03793407UE70000	臺灣中小企業銀行董事會稽核處
EB03793407UE80000	臺灣中小企業銀行行政管理處
EB03793407UF10000	臺灣中小企業銀行資訊部
EB03793407UF60000	臺灣中小企業銀行保險代理部
EB03793407UG70000	臺灣中小企業銀行北三區區營運處
EB03793407UG90000	臺灣中小企業銀行南一區區營運處
EB03793407U170000	臺灣中小企業銀行新莊分行
EB03793407U260000	臺灣中小企業銀行內湖分行
EB03793407U270000	臺灣中小企業銀行南京東路分行
EB03793407U320000	臺灣中小企業銀行松南分行
EB03793407U330000	臺灣中小企業銀行東湖分行
EB03793407U340000	臺灣中小企業銀行大安分行
EB03793407UC10000	臺灣中小企業銀行前鎮分行
EB03793407UC20000	臺灣中小企業銀行九如分行
EB03793407U160000	臺灣中小企業銀行新店分行
EB03793407U130000	臺灣中小企業銀行建成分行
EB03793407U110000	臺灣中小企業銀行仁愛分行
EB03793407U100000	臺灣中小企業銀行仁大分行
EB03793407U090000	臺灣中小企業銀行大雅分行
EB03793407UG20000	臺灣中小企業銀行信用卡部
EB03793407UG10000	臺灣中小企業銀行財富管理部
EB03793407UF90000	臺灣中小企業銀行資安部
EB03793407UG30000	臺灣中小企業銀行企業金融部
EB03795101	台灣肥料股份有限公司
EB03799802	聯合報股份有限公司
EB04016004	安侯建業聯合會計師事務所
EB04200199	陽明海運股份有限公司
EB04211365	健益汽車工業股份有限公司
EB04212250	國喬石油化學股份有限公司
EB04226091	台燿科技股份有限公司
EB04226986	同欣電子工業股份有限公司
EB04231910	國泰世華商業銀行股份有限公司
EB04231910U000001	國泰世華商業銀行信用卡作業部
EB04231910U002181	國泰世華商業銀行營業部
EB04231910U423191	國泰世華商業銀行股份有限公司執行命令收文
EB04236041	九和汽車股份有限公司台北分公司
EB04243562	聚和國際股份有限公司
EB04249518	捷全企業股份有限公司
EB04249876	三民書局股份有限公司
EB04250768	大松水電工程有限公司
EB04264313	集美工程顧問股份有限公司
EB04267141	安倉營造股份有限公司
EB04268726	晶華國際酒店股份有限公司
EB04275677	國信食品股份有限公司
EB04287483	立益物流開發股份有限公司
EB04301794	台灣富綢纖維股份有限公司
EB04312878	和益化學工業股份有限公司
EB04322046	英業達股份有限公司
EB04329168	海韻電子工業股份有限公司
EB04342697	亨泰光學股份有限公司
EB04359789	劍麟股份有限公司
EB04370927	金寶電子工業股份有限公司
EB04377371	麗嬰房股份有限公司
EB04382114	國際中橡投資控股股份有限公司
EB04384204	台灣愛拔益加股份有限公司
EB04386575	浪凡網路科技股份有限公司
EB04388237	達興纖維股份有限公司
EB04393941	亞泰金屬工業股份有限公司
EB04399255	旭順食品股份有限公司
EB04403363	大華金屬工業股份有限公司
EB04403568	鉅祥企業股份有限公司
EB04404855	昭元化成股份有限公司
EB04406559	長榮國際儲運股份有限公司
EB04408775	武昌貿易有限公司
EB04416894	崇友實業股份有限公司
EB04417508	冠軍股份有限公司
EB04431804	寶一科技股份有限公司
EB04465521	德淵企業股份有限公司
EB04465819	啟坤科技股份有限公司
EB04477420	達麗建設事業股份有限公司
EB04481037	大井泵浦工業股份有限公司
EB04516752	總行營造興業股份有限公司
EB04541794	李洲科技股份有限公司
EB04550147	臺北農產運銷股份有限公司
EB04580682	貿洋企業有限公司
EB04609111	三木工程股份有限公司
EB04610454	順華藥品工業股份有限公司
EB04610980	能源航運股份有限公司
EB04615057	名軒開發股份有限公司
EB04622450	詮華國土測繪股份有限公司
EB04633597	長虹建設股份有限公司
EB04639760	育貿股份有限公司
EB04648938	威健實業股份有限公司
EB04655091	雄獅旅行社股份有限公司
EB04669623	慕康生技醫藥股份有限公司
EB04673318	遠雄建設事業股份有限公司
EB04674153	萬泰科技股份有限公司
EB04684005	宏林營造廠股份有限公司
EB04684390	騰隆工業工程股份有限公司
EB04690983	大魯閣實業股份有限公司
EB04695235	台灣國際造船股份有限公司
EB04697368	台灣鐵塔股份有限公司
EB04699302	波電企業股份有限公司
EB04704023	聯經出版事業股份有限公司
EB04723653	亞新工程顧問股份有限公司
EB04735004	固緯電子實業股份有限公司
EB04738240	坤悅開發股份有限公司
EB04742997	寶齡富錦生技股份有限公司
EB04748660	聯成化學科技股份有限公司
EB04757891U010000	廣運機械工程股份有限公司業務處
EB04768715	勝申機械有限公司
EB04777186	晟銘電子科技股份有限公司
EB04779353	欣湖天然氣股份有限公司
EB04789211	昇貿科技股份有限公司
EB04803543	上水股份有限公司
EB04812016	實盈股份有限公司
EB04813958	明道通運股份有限公司
EB04822794	宏羚股份有限公司
EB04827138	車王電子股份有限公司
EB04852662	商登貿易有限公司
EB04865462	金橋科技股份有限公司
EB04877657	台灣良得電子股份有限公司
EB04921056	全坤建設開發股份有限公司
EB04926876	隴華電子股份有限公司
EB04927158	陸海股份有限公司
EB04938839	日高工程實業股份有限公司
EB04964250	東森國際股份有限公司
EB04967550	凌群電腦股份有限公司
EB04980033	東鑫龍營造有限公司
EB04980218	華泰文化事業股份有限公司
EB04982433	麗正國際科技股份有限公司
EB04987227	今日儀器股份有限公司
EB04988886	僑福營造股份有限公司
EB04992050	權威工程顧問有限公司
EB05006257	富國技術工程股份有限公司
EB05025825	地樺營造事業股份有限公司
EB05026021	亞聯工程顧問股份有限公司
EB05026438	遠流出版事業股份有限公司
EB05052033	穩得實業股份有限公司
EB05052322U113829	第一商業銀行股份有限公司執行命令收文
EB05052322	第一商業銀行股份有限公司
EB05067113	元大證券金融股份有限公司
EB05071926	久裕企業股份有限公司
EB05072925	中租迪和股份有限公司
EB05094603	德勝科技股份有限公司
EB05099516	國泰世華商業銀行股份有限公司台北分公司
EB05114306	擎邦國際科技工程股份有限公司
EB05117325	遠揚營造工程股份有限公司
EB05126366	超豐電子股份有限公司
EB05141520	昆盈企業股份有限公司
EB05143647	勤誠興業股份有限公司
EB05147030	士林開發股份有限公司
EB05194429	朱臣企業有限公司
EB05382415	上立汽車股份有限公司
EB05385905	建堡營造有限公司
EB05637971	燿華電子股份有限公司
EB05644699	珍輝實業有限公司
EB05712099	磐亞股份有限公司
EB05834494	昆達交通有限公司
EB05835326	中欣汽車修配廠
EB05839152	明係事業股份有限公司
EB06581200	宏斌汽車修護廠
EB06667446	京城建設股份有限公司
EB06722139	味帝企業股份有限公司
EB07015014	大宇紡織股份有限公司
EB07029919	三洋實業股份有限公司
EB07066907	中國人造纖維股份有限公司
EB07067309	味王股份有限公司
EB07125700	台灣南海股份有限公司
EB07147916	地球綜合工業股份有限公司
EB07192904	明台產物保險股份有限公司
EB07305506	南僑投資控股股份有限公司
EB07435515	新光合成纖維股份有限公司
EB07435901	新光紡織股份有限公司
EB07502648	鴻輝精機廠有限公司
EB07510318	華友聯開發股份有限公司
EB07525207	台灣農林股份有限公司
EB07568009	環球水泥股份有限公司
EB07569627	聯華食品工業股份有限公司
EB07611076	理銘開發股份有限公司
EB07614995	大寬企業有限公司
EB07617901	大將開發股份有限公司
EB07618057	志聖工業股份有限公司
EB07648290	三圓建設股份有限公司
EB07652202	新昕纖維股份有限公司
EB07663290	力麗企業股份有限公司
EB07666249	漢珍數位圖書股份有限公司
EB07669338	宜進實業股份有限公司
EB07678673	中基土壤技術顧問有限公司
EB07708830	花仙子企業股份有限公司
EB07715023	強盛新投資控股股份有限公司
EB07838854	中鴻鋼鐵股份有限公司
EB07842457	上友營造有限公司
EB07861475	欣雄天然氣股份有限公司
EB07904410	瑞泰土木包工業
EB07926511	久陽精密股份有限公司
EB07950841	益裕土木包工業
EB07992639	聖州企業股份有限公司
EB08031982	弘盟汽車修護股份有限公司
EB08036277	連祥環保汽車貨運行
EB08096909	臺東縣農產股份有限公司
EB08121837	花蓮縣農產運銷股份有限公司
EB08122300	威毅營造股份有限公司
EB08168494	順達土木包工業
EB08695518	金鑫電腦速修坊
EB08977312	兄弟土木包工業
EB09119009	那秋設計工作室
EB09205530	和達土木包工業
EB09247715	齊立文化創意工作室
EB09404334	旭海國際科技股份有限公司
EB09405278	先智生物科技股份有限公司
EB09411433	天方科技實業股份有限公司
EB09420242	新碩資訊股份有限公司
EB09424319	藍天電腦股份有限公司
EB09459153	永峻工程顧問股份有限公司
EB09461025	致茂電子股份有限公司
EB09468343	台灣百和工業股份有限公司
EB09473845	尚立股份有限公司
EB09490345	九建工程股份有限公司
EB09497109	迎廣科技股份有限公司
EB09498640	御匠設計工程股份有限公司
EB09617189	玉木行
EB10126366	藝術空間工作室
EB10280634	久億土木包工業
EB10477735	泰霖土木包工業
EB10529332	漢輝土木包工業
EB10669136	鴻鑫土木包工業
EB10838132	樺煒汽車修護廠新營分廠
EB10861560	第一企業社
EB11011623	大南汽車股份有限公司
EB11014579	大同集成股份有限公司
EB11016900	嘉頡營造股份有限公司
EB11018771	大眾建設企業有限公司
EB11020030	大嘉企業有限公司
EB11026506U060000	大同股份有限公司智慧電表事業部
EB11026506U080000	大同股份有限公司電纜業務處
EB11026506	大同股份有限公司
EB11039306	士林電機廠股份有限公司
EB11051504	大恭化學工業股份有限公司
EB11052709	三商投資控股股份有限公司
EB11059409	大華建設股份有限公司
EB11072304	大台北區瓦斯股份有限公司
EB11081274	六福開發股份有限公司
EB11081274U010000	六福棲蘭明池股份有限公司
EB11081274U030000	六福農藝股份有限公司
EB11081274U020000	六福文旅學股份有限公司
EB11081681	台灣三菱電梯股份有限公司
EB11081991	中央再保險股份有限公司
EB11083148	東華龍股份有限公司
EB11099009	太平洋建設股份有限公司
EB11099303	南山產物保險股份有限公司
EB11099726	日馳企業股份有限公司
EB11113403	雋揚國際股份有限公司
EB11121403	中美聯合實業股份有限公司
EB11145904	中華航空股份有限公司
EB11166702	日立永大電梯股份有限公司
EB11214205	永隆工程股份有限公司
EB11229501	正豐貿易股份有限公司
EB11237018	百通企業有限公司
EB11298247	良維科技股份有限公司
EB11311608	利華羊毛工業股份有限公司
EB11322915	鳳凰國際旅行社股份有限公司
EB11330555	聯廣廣告股份有限公司
EB11332202	東元電機股份有限公司
EB11334118	金門汽車股份有限公司
EB11337775	長榮海運股份有限公司
EB11347802	味全食品工業股份有限公司
EB11364230	欣欣大眾巿場股份有限公司
EB11367406	泛亞工程建設股份有限公司
EB11381701	亞洲航空股份有限公司
EB11384209	長春美術工程有限公司
EB11384405	東南實業股份有限公司
EB11384708U010000	長春人造樹脂廠股份有限公司總務室
EB11384806U010000	長春石油化學股份有限公司總務室
EB11394902	佳能企業股份有限公司
EB11395000	萬海航運股份有限公司
EB11455800	恒大股份有限公司
EB11456006	南山人壽保險股份有限公司
EB11456110	美時化學製藥股份有限公司
EB11457069	盈泉水電工程股份有限公司
EB11491382	帝聞企業股份有限公司
EB11500811	飛達旅運股份有限公司
EB11500811U000004	大溪地航空公司(飛達旅運股份有限公司代理)
EB11500811U000003	卡達航空公司(飛達旅運股份有限公司代理)
EB11500811U000002	酷虎航空公司(飛達旅運股份有限公司代理)
